device,timestamp,r_s,w_s,rmb_s,wmb_s,r_await,w_await,aqu_sz,util_pct,rrqm_s,wrqm_s,rareq_sz,wareq_sz,svctm,iowait_pct
dm-0,2026-03-30T00:01:58.457739+00:00,130.54309100512188,79.1844082495612,9.85890457229948,7.593411439323534,0.5153829199021595,1.5123935152967682,1.2289570984100286,18.985404795627193,6.652674587758412,8.41926786494589,76.0468250165206,87.25276432997633,0.37525861000211547,0.0
dm-0,2026-03-30T00:07:25.975778+00:00,140.7986109937034,111.64041645788531,13.975163095082703,7.333685077660868,0.7220485975638655,2.733420507127906,0.3372655236943884,5.122736045646558,6.204965826733445,13.070514303775562,54.49933787248797,50.33711616230822,0.31461214285854977,2.5802401834079065
dm-0,2026-03-30T00:12:41.635044+00:00,125.28612582596763,66.3713996127894,12.555740960542607,6.673198277926027,0.7470564393153944,2.052067429108665,0.14883868068531478,25.935529811727775,4.1151892995132915,7.280112599112673,73.75937166763934,81.46851782864711,0.48381251099418554,2.334648067073016
dm-0,2026-03-30T00:17:16.872031+00:00,100.35619252696203,75.7832141341374,8.57247640168354,6.661890319021168,0.9208231173913994,0.9372099367611819,0.29209858330971317,26.25781106594158,8.018141875250706,12.748039522928774,71.67538170429681,38.84638986876323,0.4341956768922886,0.7130696904422272
dm-0,2026-03-30T00:22:38.881089+00:00,108.47976444433496,117.22099982846743,7.843161695325948,6.857079427945481,1.4020101106951304,1.6042835991439848,0.7969951081520351,16.542202229584042,12.173365917492129,14.236510985375867,86.28434451921562,62.82498061257297,0.34923369099306717,0.0
dm-0,2026-03-30T00:27:15.795186+00:00,105.9296421349062,55.041435459680045,14.534643971590283,7.589953086874232,0.7447327905859891,0.7304418883113175,0.670348730573965,11.804987787674545,9.019206630331407,10.952403792208319,77.62484378816944,72.76766387226455,0.3519775075536844,4.421149236249895
dm-0,2026-03-30T00:32:26.521293+00:00,139.09418717845548,74.72105665369388,9.020966072037455,9.213207262554512,0.5637721533962619,1.6989003541664551,0.0521623111867632,27.450315933828307,9.48608986456773,9.132354243077376,92.79839365149178,21.108800925334478,0.3469157080358234,1.9364431885221671
dm-0,2026-03-30T00:37:40.402436+00:00,115.33941277037695,138.5405043438666,11.014412035678818,9.01233429887443,0.7709259292237018,1.7866548044015549,0.5575844358672498,23.15078981239936,11.291584855588084,8.704298790663847,39.26512867331841,58.382696588072896,0.427609380056964,1.6622910053328717
dm-0,2026-03-30T00:42:50.487853+00:00,135.92584431372464,85.5773541389339,9.554197241948485,5.96008364885223,0.5473208527141229,1.6966841224382048,0.6978891474591414,8.945948723735166,8.705878853614065,6.415149173203651,68.44845393292704,75.15173411924584,0.34779650141719004,0.0
dm-0,2026-03-30T00:47:52.342752+00:00,175.27913344550646,134.35979931179557,8.865852216735696,8.670471244053024,0.8354835463076528,0.9419476043581986,0.2852796585436857,39.27588970265665,13.579504229612024,9.390730014511487,48.728377838428415,57.64817858918615,0.3503841819343513,0.0
