device,timestamp,total_iops,total_throughput_mb_s,avg_latency_ms,util_pct,aqu_sz,saturation_score,latency_pressure,anomaly_flag,critical_flag,high_flag
dm-0,2026-03-30 00:01:58.457739+00:00,209.7274992546831,17.45231601162301,0.8918127838705198,18.985404795627197,1.2289570984100286,23.332247989773844,1.095999651190484,0,0,0
dm-0,2026-03-30 00:07:25.975778+00:00,252.43902745158871,21.308848172743573,1.6115719010811258,5.122736045646558,0.3372655236943884,1.7277222551831068,0.543527641189287,0,0,0
dm-0,2026-03-30 00:12:41.635044+00:00,191.65752543875703,19.228939238468634,1.1989844588615324,25.935529811727772,0.1488386806853147,3.86021004005221,0.17845526501914646,1,0,0
dm-0,2026-03-30 00:17:16.872031+00:00,176.13940666109943,15.234366720704708,0.9278734752006945,26.25781106594158,0.2920985833097131,7.669869413175644,0.2710305275967831,0,0,0
dm-0,2026-03-30 00:22:38.881089+00:00,225.70076427280242,14.700241123271429,1.5070638114708517,16.542202229584042,0.7969951081520351,13.18405425504017,1.2011224854152296,0,0,0
dm-0,2026-03-30 00:27:15.795186+00:00,160.97107759458623,22.124597058464516,0.7398462495565938,11.804987787674545,0.670348730573965,7.913458577908791,0.49595499421017164,0,0,0
dm-0,2026-03-30 00:32:26.521293+00:00,213.81524383214935,18.23417333459197,0.9604603271615505,27.450315933828307,0.0521623111867632,1.4318719219153164,0.050099830467941184,1,1,0
dm-0,2026-03-30 00:37:40.402436+00:00,253.87991711424354,20.02674633455325,1.3252021092511501,23.15078981239936,0.5575844358672498,12.908520077427971,0.7389120704968921,0,0,0
dm-0,2026-03-30 00:42:50.487853+00:00,221.50319845265852,15.514280890800714,0.991375242242421,8.945948723735166,0.6978891474591414,6.243280528020729,0.691870022620663,0,0,0
dm-0,2026-03-30 00:47:52.342752+00:00,309.63893275730203,17.536323460788722,0.8816808682859024,39.27588970265665,0.2852796585436857,11.20461240337335,0.2515256170491026,0,0,0
dm-0,2026-03-30 00:52:37.134666+00:00,183.83390346142022,18.667460181091315,0.8620690934825435,28.159382764517577,0.544216318219661,15.324795611443935,0.46915206810603055,0,0,0
dm-0,2026-03-30 00:57:22.880112+00:00,264.19256366049035,14.081184044618595,1.4107363519938956,3.588124885672297,0.6058563936072076,2.1738884030456918,0.8547036385496097,0,0,0
dm-0,2026-03-30 01:02:38.139265+00:00,230.57663875465806,12.737898835204803,1.5250172406990412,25.01021168677481,0.5510280386776438,13.78132789267621,0.8403272590919849,0,0,0
dm-0,2026-03-30 01:07:08.799388+00:00,202.33381436094504,18.456398505381575,0.7347934768059882,40.83408786753703,0.9099007358456392,37.15496659825743,0.6685891252403443,0,0,0
dm-0,2026-03-30 01:12:15.166885+00:00,277.90904515112834,19.200294858532068,1.2484968330807498,2.468390341547813,0.988453476747942,2.439889015073976,1.234081035367462,0,0,0
dm-0,2026-03-30 01:17:40.613288+00:00,269.451066954937,15.975806784326977,0.6492747439204251,2.616618911869308,0.7895341934461332,2.065910102138633,0.5126246112661574,0,0,0
dm-0,2026-03-30 01:22:19.837735+00:00,272.2644301562897,18.797862529674756,0.6805311802012746,23.82545300493605,0.0466224388727312,1.110800726337761,0.031728023349921544,1,1,0
dm-0,2026-03-30 01:27:19.933485+00:00,223.39486260084647,15.124396995784897,0.9821288894045884,13.683880848641188,0.4916437774996925,6.727594871281652,0.4828575571784496,0,0,0
dm-0,2026-03-30 01:32:32.153284+00:00,211.06236960497864,21.95599291099251,1.1371461833095224,13.437302117750642,0.9100831367619784,12.22906206094088,1.0348975654632417,0,0,0
dm-0,2026-03-30 01:37:37.618268+00:00,186.48656506569466,16.035238913361784,1.607902642291723,35.04687366970472,0.9392541424650492,32.917921274719426,1.5102292174529992,0,0,0
dm-0,2026-03-30 01:42:28.985627+00:00,228.34064838970795,14.76830771614967,0.9190685404198318,10.182914361457286,0.6685132036813333,6.807412702590468,0.6144094543587887,0,0,0
dm-0,2026-03-30 01:47:02.242007+00:00,157.42584706883946,14.272670989008605,0.8351107997031731,0.2922714139830376,0.5630247251781765,0.1645560325352368,0.4701880284962062,0,0,0
dm-0,2026-03-30 01:52:28.157524+00:00,247.8544669295132,19.423066702064474,1.0205710013368288,0.0,0.19177012464648,0.0,0.19571502813694655,1,0,0
dm-0,2026-03-30 01:56:58.437895+00:00,266.817433029726,16.91177288632084,0.7253692797406831,9.592015945732191,0.3477566901411584,3.33568771706904,0.25225201985269596,0,0,0
