device,timestamp,metric_name,detector_type,severity,anomaly_score,workload_pattern,root_cause_hint,util_pct,aqu_sz,avg_latency_ms,total_iops,saturation_score
dm-0,2026-03-30 02:42:22.614939+00:00,avg_latency_ms,iqr,low,1.818107490865249,balanced,avg_latency_ms deviated from device baseline,30.3079123754281,0.3666890148099988,2.256684754484677,199.9945163312756,11.1135785298935
dm-0,2026-03-30 10:17:53.096655+00:00,avg_latency_ms,iqr,low,1.2432201316373195,balanced,avg_latency_ms deviated from device baseline,20.96063465514105,1.2478924283779411,1.889496319505967,563.1077259525152,26.156617280146794
dm-0,2026-03-30 13:07:41.917902+00:00,avg_latency_ms,iqr,low,1.1439031011302998,balanced,avg_latency_ms deviated from device baseline,54.12050475056652,1.7972659370391502,1.8260611710143013,619.8379351228248,97.26893968355871
dm-0,2026-03-30 16:12:18.358062+00:00,avg_latency_ms,iqr,low,1.0622442352374581,balanced,avg_latency_ms deviated from device baseline,33.20089011454647,1.1071126811488694,1.7739045342609772,638.3602851547312,36.75712647124453
dm-0,2026-03-30 18:32:38.806525+00:00,avg_latency_ms,iqr,low,1.3655458993868124,balanced,avg_latency_ms deviated from device baseline,35.9138299554846,0.6094449959627513,1.967627463801483,394.9457259915074,21.88750395222725
dm-0,2026-03-30 19:12:54.191129+00:00,avg_latency_ms,iqr,low,1.2157807226192494,balanced,avg_latency_ms deviated from device baseline,28.944578343881982,0.3228143918619947,1.871970392918162,329.7303177031185,9.343726455782123
dm-0,2026-03-30 20:52:44.903072+00:00,avg_latency_ms,iqr,low,1.2666606403431926,balanced,avg_latency_ms deviated from device baseline,28.62744296024373,0.1822738201890157,1.9044680936607747,434.23446161423556,5.218033390606769
dm-0,2026-03-31 02:07:21.877678+00:00,avg_latency_ms,iqr,low,1.2489978458489488,balanced,avg_latency_ms deviated from device baseline,20.834474816301658,0.3530851595460637,1.893186624754584,274.0721623452707,7.356343864572317
dm-0,2026-03-31 02:42:45.077690+00:00,avg_latency_ms,iqr,low,1.5066902836142526,balanced,avg_latency_ms deviated from device baseline,6.657066181937006,0.7608763338525031,2.0577783163443364,196.71009847244073,5.06520411072571
dm-0,2026-03-31 05:12:44.827870+00:00,avg_latency_ms,iqr,low,2.020215885291554,balanced,avg_latency_ms deviated from device baseline,16.34543089129709,0.6894404890472138,2.3857741558330052,288.1097726319922,11.269201867383302
dm-0,2026-03-31 07:07:28.784688+00:00,avg_latency_ms,iqr,low,1.0664967330022124,balanced,avg_latency_ms deviated from device baseline,27.95811921965068,0.7306212784705527,1.7766206628623915,398.12383807643835,20.42679680789331
dm-0,2026-03-31 10:11:59.836989+00:00,avg_latency_ms,iqr,low,2.1455888951440483,balanced,avg_latency_ms deviated from device baseline,37.44316882189743,2.407610912308827,2.4658516154211463,597.3091985210498,90.1485818470219
dm-0,2026-03-31 13:32:08.967216+00:00,avg_latency_ms,iqr,low,1.2643704867533607,balanced,avg_latency_ms deviated from device baseline,63.27340748759805,1.8967738950906925,1.9030053411771568,763.1860011250203,120.01534757591195
